,OrphaNumber,Disorder_Name,Category
52,60,Alpha-1-antitrypsin deficiency,rare inborn errors of metabolism|rare genetic diseases|rare hepatic diseases|rare respiratory diseases|rare renal diseases|rare transplant-related disorders
53,61,Alpha-mannosidosis,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
54,62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3,rare cardiac diseases|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
55,63,Alport syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare ophthalmic disorders|rare otorhinolaryngological diseases|rare transplant-related disorders
56,64,Alström syndrome,rare cardiac diseases|rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare renal diseases|rare ophthalmic disorders|rare endocrine diseases|rare otorhinolaryngological diseases|rare transplant-related disorders
57,65,Leber congenital amaurosis,rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
58,67,Amoebiasis due to Entamoeba histolytica,rare infectious diseases
59,68,Amoebiasis due to free-living amoebae,rare infectious diseases
60,69,Amyloidosis,rare systemic and rheumatological diseases
61,70,Proximal spinal muscular atrophy,rare genetic diseases|rare neurological diseases
62,71,Chylomicron retention disease,rare inborn errors of metabolism|rare gastroenterological diseases|rare genetic diseases|rare endocrine diseases
63,72,Angelman syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
64,73,Gorham-Stout disease,rare developmental anomalies during embryogenesis|rare genetic diseases|rare systemic and rheumatological diseases|rare circulatory system diseases|rare bone diseases|rare systemic or rheumatologic diseases of childhood
65,74,Angiostrongyliasis,rare infectious diseases
66,76,Strongyloidiasis,rare infectious diseases
67,78,Ankylostomiasis,rare infectious diseases
68,79,Congenital alpha2-antiplasmin deficiency,rare genetic diseases|rare hematological diseases
69,80,Antiphospholipid syndrome,rare hematological diseases|rare systemic and rheumatological diseases|rare gynecological and obstetric diseases
70,81,Antisynthetase syndrome,rare neurological diseases|rare respiratory diseases|rare systemic and rheumatological diseases|rare transplant-related disorders
71,82,Hereditary thrombophilia due to congenital antithrombin deficiency,rare genetic diseases|rare hematological diseases|rare systemic and rheumatological diseases|rare bone diseases
72,83,Antley-Bixler syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
73,84,Fanconi anemia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare renal diseases|rare hematological diseases|rare bone diseases|rare neoplastic diseases|rare transplant-related disorders
74,85,Congenital dyserythropoietic anemia,rare genetic diseases|rare hematological diseases
75,86,Familial abdominal aortic aneurysm,rare genetic diseases|rare circulatory system diseases
76,87,Apert syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
77,88,Idiopathic aplastic anemia,rare hematological diseases|rare transplant-related disorders
78,90,Argininemia,rare inborn errors of metabolism|rare genetic diseases
79,91,Aromatase deficiency,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare endocrine diseases|rare infertility disorders|rare gynecological and obstetric diseases
80,92,Juvenile idiopathic arthritis,rare respiratory diseases|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood|rare transplant-related disorders
81,93,Aspartylglucosaminuria,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare bone diseases
82,94,Astrocytoma,rare neurological diseases|rare neoplastic diseases
83,95,Friedreich ataxia,rare cardiac diseases|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare transplant-related disorders
84,96,Ataxia with vitamin E deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
85,97,Familial paroxysmal ataxia,rare genetic diseases|rare neurological diseases
86,98,Autosomal recessive spastic ataxia of Charlevoix-Saguenay,rare genetic diseases|rare neurological diseases
87,99,Autosomal dominant cerebellar ataxia,rare genetic diseases|rare neurological diseases
88,100,Ataxia-telangiectasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders|rare endocrine diseases|rare immunological diseases|rare neoplastic diseases|rare gynecological and obstetric diseases|rare transplant-related disorders
89,101,Dentatorubral pallidoluysian atrophy,rare genetic diseases|rare neurological diseases
90,102,Multiple system atrophy,rare neurological diseases
91,104,Leber hereditary optic neuropathy,rare inborn errors of metabolism|rare genetic diseases|rare ophthalmic disorders
92,105,Atresia of urethra,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare renal diseases|rare transplant-related disorders
93,107,BOR syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare bone diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases|rare transplant-related disorders
94,108,Babesiosis,rare infectious diseases
95,109,Bannayan-Riley-Ruvalcaba syndrome,rare developmental anomalies during embryogenesis|rare gastroenterological diseases|rare genetic diseases|rare neurological diseases|rare skin diseases|rare circulatory system diseases|rare neoplastic diseases|rare transplant-related disorders
96,110,Bardet-Biedl syndrome,rare developmental anomalies during embryogenesis|rare gastroenterological diseases|rare genetic diseases|rare neurological diseases|rare abdominal surgical diseases|rare renal diseases|rare ophthalmic disorders|rare endocrine diseases|rare infertility disorders|rare gynecological and obstetric diseases|rare transplant-related disorders
97,111,Barth syndrome,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare immunological diseases|rare transplant-related disorders
98,112,Bartter syndrome,rare genetic diseases|rare renal diseases
99,113,Bazex-Dupré-Christol syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare neoplastic diseases
100,114,Auriculoosteodysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
101,115,Congenital contractural arachnodactyly,rare developmental anomalies during embryogenesis|rare genetic diseases|rare systemic and rheumatological diseases|rare bone diseases
102,116,Beckwith-Wiedemann syndrome,rare cardiac diseases|rare developmental anomalies during embryogenesis|rare genetic diseases|rare renal diseases|rare otorhinolaryngological diseases|rare neoplastic diseases|rare surgical maxillo-facial diseases|rare transplant-related disorders
103,117,Behçet disease,rare neurological diseases|rare skin diseases|rare renal diseases|rare ophthalmic disorders|rare systemic and rheumatological diseases|rare circulatory system diseases|rare systemic or rheumatologic diseases of childhood|rare transplant-related disorders
104,118,Beta-mannosidosis,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare bone diseases|rare transplant-related disorders
105,119,Beta-sarcoglycan-related limb-girdle muscular dystrophy R4,rare cardiac diseases|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
106,122,Birt-Hogg-Dubé syndrome,rare genetic diseases|rare respiratory diseases|rare skin diseases|rare renal diseases|rare neoplastic diseases|rare transplant-related disorders
107,123,Björnstad syndrome,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare skin diseases
108,124,Diamond-Blackfan anemia,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare hematological diseases|rare otorhinolaryngological diseases|rare neoplastic diseases|rare surgical maxillo-facial diseases|rare transplant-related disorders
109,125,Bloom syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare hematological diseases|rare immunological diseases|rare neoplastic diseases|rare transplant-related disorders
110,126,Blepharophimosis-ptosis-epicanthus inversus syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
111,127,Borjeson-Forssman-Lehmann syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare endocrine diseases
112,128,Diphyllobothriasis,rare infectious diseases
113,129,Pseudopelade of Brocq,rare skin diseases
114,130,Brugada syndrome,rare cardiac diseases|rare genetic diseases
115,131,Budd-Chiari syndrome,rare hepatic diseases|rare transplant-related disorders
116,132,Hereditary butyrylcholinesterase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
117,133,Chronic beryllium disease,rare respiratory diseases|rare transplant-related disorders
118,134,Beta-ketothiolase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
119,135,CACH syndrome,rare genetic diseases|rare neurological diseases
120,136,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
121,137,Congenital disorder of glycosylation,rare inborn errors of metabolism|rare genetic diseases
122,138,CHARGE syndrome,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare genetic diseases|rare neurological diseases|rare urogenital diseases|rare renal diseases|rare ophthalmic disorders|rare endocrine diseases|rare immunological diseases|rare otorhinolaryngological diseases|rare infertility disorders|rare gynecological and obstetric diseases|rare surgical maxillo-facial diseases|rare transplant-related disorders
123,139,CHILD syndrome,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare skin diseases|rare bone diseases|rare neoplastic diseases
124,140,Campomelic dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare urogenital diseases|rare endocrine diseases|rare bone diseases|rare gynecological and obstetric diseases
125,141,Canavan disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
126,142,Anaplastic thyroid carcinoma,rare endocrine diseases|rare neoplastic diseases
127,143,Parathyroid carcinoma,rare endocrine diseases|rare neoplastic diseases
128,144,Lynch syndrome,rare gastroenterological diseases|rare genetic diseases|rare neoplastic diseases
129,145,Hereditary breast and/or ovarian cancer syndrome,rare genetic diseases|rare neoplastic diseases|rare gynecological and obstetric diseases
130,146,Differentiated thyroid carcinoma,rare endocrine diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
131,147,Carbamoyl-phosphate synthetase 1 deficiency,rare inborn errors of metabolism|rare genetic diseases
132,148,Multiple carboxylase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare skin diseases
133,150,Nasopharyngeal carcinoma,rare respiratory diseases|rare otorhinolaryngological diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
134,154,Familial isolated dilated cardiomyopathy,rare cardiac diseases|rare genetic diseases|rare transplant-related disorders
135,156,Carnitine palmitoyl transferase 1A deficiency,rare inborn errors of metabolism|rare genetic diseases
136,157,Carnitine palmitoyltransferase II deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
137,158,Systemic primary carnitine deficiency,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
138,159,Carnitine-acylcarnitine translocase deficiency,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
139,160,Castleman disease,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
140,162,Congenital cataract-anterior segment dysgenesis syndrome,rare genetic diseases|rare ophthalmic disorders
141,163,Hereditary hyperferritinemia-cataract syndrome,rare inborn errors of metabolism|rare genetic diseases|rare ophthalmic disorders
142,165,Neutral lipid storage disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
143,166,Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,rare genetic diseases|rare neurological diseases
144,167,Chédiak-Higashi syndrome,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders|rare hematological diseases|rare immunological diseases|rare transplant-related disorders
145,168,Loose anagen syndrome,rare genetic diseases|rare skin diseases
146,169,Ringed hair disease,rare genetic diseases|rare skin diseases
147,170,Woolly hair,rare genetic diseases|rare skin diseases
148,171,Primary sclerosing cholangitis,rare hepatic diseases|rare transplant-related disorders
149,172,Progressive familial intrahepatic cholestasis,rare inborn errors of metabolism|rare genetic diseases|rare hepatic diseases|rare transplant-related disorders
150,173,Cholera,rare infectious diseases
151,174,"Metaphyseal chondrodysplasia, Schmid type",rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
152,175,Cartilage-hair hypoplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare ophthalmic disorders|rare immunological diseases|rare bone diseases
153,176,Non-rhizomelic chondrodysplasia punctata,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
154,177,Rhizomelic chondrodysplasia punctata,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
155,178,Chordoma,rare genetic diseases|rare endocrine diseases|rare bone diseases|rare neoplastic diseases
156,179,Birdshot chorioretinopathy,rare ophthalmic disorders
157,180,Choroideremia,rare genetic diseases|rare ophthalmic disorders
158,181,X-linked hypohidrotic ectodermal dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare ophthalmic disorders|rare odontological diseases
159,182,Chromomycosis,rare infectious diseases
160,183,Eosinophilic granulomatosis with polyangiitis,rare cardiac diseases|rare neurological diseases|rare respiratory diseases|rare renal diseases|rare systemic and rheumatological diseases|rare circulatory system diseases|rare systemic or rheumatologic diseases of childhood|rare transplant-related disorders
161,184,Cherubism,rare developmental anomalies during embryogenesis|rare genetic diseases|rare immunological diseases|rare systemic and rheumatological diseases|rare odontological diseases|rare bone diseases|rare systemic or rheumatologic diseases of childhood
162,185,Scimitar syndrome,rare developmental anomalies during embryogenesis|rare cardiac malformations|rare respiratory diseases|rare circulatory system diseases
163,186,Primary biliary cholangitis,rare hepatic diseases|rare transplant-related disorders
164,187,Citrullinemia,rare inborn errors of metabolism|rare genetic diseases
165,188,Systemic capillary leak syndrome,rare systemic and rheumatological diseases
166,189,Hidrotic ectodermal dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare ophthalmic disorders
167,190,Coats disease,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
168,191,Cockayne syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders|rare otorhinolaryngological diseases|rare neoplastic diseases
169,192,Coffin-Lowry syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare endocrine diseases
170,193,Cohen syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare endocrine diseases|rare immunological diseases|rare transplant-related disorders
171,195,Cat-eye syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare renal diseases|rare ophthalmic disorders|rare transplant-related disorders
172,198,Occipital horn syndrome,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare abdominal surgical diseases|rare surgical thoracic diseases|rare skin diseases
173,199,Cornelia de Lange syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare abdominal surgical diseases|rare surgical thoracic diseases|rare ophthalmic disorders|rare bone diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
174,200,Isolated corpus callosum agenesis,rare developmental anomalies during embryogenesis|rare neurological diseases
175,201,Cowden syndrome,rare developmental anomalies during embryogenesis|rare gastroenterological diseases|rare genetic diseases|rare skin diseases|rare neoplastic diseases|rare transplant-related disorders
176,204,Sporadic Creutzfeldt-Jakob disease,rare neurological diseases
177,205,Crigler-Najjar syndrome,rare inborn errors of metabolism|rare genetic diseases|rare hepatic diseases|rare transplant-related disorders
178,207,Crouzon syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare bone diseases
179,209,Cutis laxa,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare surgical thoracic diseases|rare skin diseases
180,210,Cyclosporiasis,rare infectious diseases
181,211,Familial cylindromatosis,rare genetic diseases|rare skin diseases|rare neoplastic diseases
182,212,Cystathioninuria,rare inborn errors of metabolism|rare genetic diseases
183,213,Cystinosis,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare renal diseases|rare endocrine diseases|rare bone diseases
184,214,Cystinuria,rare inborn errors of metabolism|rare genetic diseases|rare renal diseases|rare transplant-related disorders
185,215,Congenital stationary night blindness,rare genetic diseases|rare ophthalmic disorders
186,216,Neuronal ceroid lipofuscinosis,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
187,217,Isolated Dandy-Walker malformation,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
188,218,Darier disease,rare genetic diseases|rare skin diseases
189,219,Delta-sarcoglycan-related limb-girdle muscular dystrophy R6,rare cardiac diseases|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
190,220,Denys-Drash syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare renal diseases|rare endocrine diseases|rare neoplastic diseases|rare gynecological and obstetric diseases|rare transplant-related disorders
191,221,Dermatomyositis,rare neurological diseases|rare skin diseases|rare renal diseases|rare systemic and rheumatological diseases|rare transplant-related disorders
192,222,Erosive pustular dermatosis of the scalp,rare skin diseases
193,223,Arginine vasopressin resistance,rare genetic diseases|rare renal diseases
194,224,Neonatal diabetes mellitus,rare genetic diseases|rare endocrine diseases
195,226,Dihydropteridine reductase deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
196,227,Diphallia,rare developmental anomalies during embryogenesis|rare urogenital diseases|rare transplant-related disorders
197,229,Familial aortic dissection,rare genetic diseases|rare surgical thoracic diseases|rare circulatory system diseases
198,230,Dopamine beta-hydroxylase deficiency,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
199,231,Dracunculiasis,rare infectious diseases
200,232,Sickle cell anemia,rare genetic diseases|rare neurological diseases|rare renal diseases|rare hematological diseases|rare systemic and rheumatological diseases|rare bone diseases|rare transplant-related disorders
201,233,Duane retraction syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
202,234,Dubin-Johnson syndrome,rare inborn errors of metabolism|rare genetic diseases|rare hepatic diseases
203,235,Dubowitz syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders|rare bone diseases
204,236,Trisomy 9p syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders
205,237,Duplication of urethra,rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare renal diseases|rare transplant-related disorders
206,239,Dyggve-Melchior-Clausen disease,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare bone diseases
207,240,Léri-Weill dyschondrosteosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
208,241,Dyschromatosis universalis hereditaria,rare genetic diseases|rare skin diseases
209,242,"46,XY complete gonadal dysgenesis",rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare endocrine diseases|rare gynecological and obstetric diseases|rare transplant-related disorders
210,243,"46,XX gonadal dysgenesis",rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare endocrine diseases|rare infertility disorders|rare gynecological and obstetric diseases|rare transplant-related disorders
211,244,Primary ciliary dyskinesia,rare genetic diseases|rare respiratory diseases|rare infertility disorders
212,245,Nager syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare bone diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
213,246,Postaxial acrofacial dysostosis,rare developmental anomalies during embryogenesis|rare genetic diseases|rare ophthalmic disorders|rare bone diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
214,247,Inherited arrhythmogenic cardiomyopathy,rare cardiac diseases|rare genetic diseases|rare transplant-related disorders
215,248,Autosomal recessive hypohidrotic ectodermal dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare ophthalmic disorders|rare odontological diseases
216,249,Fibrous dysplasia of bone,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
217,250,Frontonasal dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
218,251,Multiple epiphyseal dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
219,253,Spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
220,254,Spondylometaphyseal dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
221,255,Dopa-responsive dystonia,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
222,256,Early-onset generalized limb-onset dystonia,rare genetic diseases|rare neurological diseases
223,257,Epidermolysis bullosa simplex with muscular dystrophy,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare skin diseases|rare ophthalmic disorders
224,258,Laminin subunit alpha 2-related congenital muscular dystrophy,rare genetic diseases|rare neurological diseases
225,261,Emery-Dreifuss muscular dystrophy,rare cardiac diseases|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
226,262,Duchenne and Becker muscular dystrophy,rare cardiac diseases|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
227,263,Limb-girdle muscular dystrophy,rare genetic diseases|rare neurological diseases
228,267,Calpain-3-related limb-girdle muscular dystrophy R1,rare genetic diseases|rare neurological diseases
229,268,Dysferlin-related limb-girdle muscular dystrophy R2,rare genetic diseases|rare neurological diseases
230,269,Facioscapulohumeral dystrophy,rare genetic diseases|rare neurological diseases
231,270,Oculopharyngeal muscular dystrophy,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
