ID,standard_name,link
OMIM:101600,Pfeiffer syndrome,https://www.omim.org/entry/101600
OMIM:101800,"Acrodysostosis 1, with or without hormone resistance",https://www.omim.org/entry/101800
OMIM:101805,"Acrofacial dysostosis, Catania type",https://www.omim.org/entry/101805
OMIM:101840,"Acrokeratoderma, hereditary papulotranslucent",https://www.omim.org/entry/101840
OMIM:101850,ACROKERATOELASTOIDOSIS,https://www.omim.org/entry/101850
OMIM:101900,Acrokeratosis verruciformis,https://www.omim.org/entry/101900
OMIM:102000,"Acroleukopathy, symmetric",https://www.omim.org/entry/102000
OMIM:102100,"Acromegaloid changes, cutis verticis gyrata, and corneal leukoma",https://www.omim.org/entry/102100
OMIM:102150,Acromegaloid facial appearance syndrome,https://www.omim.org/entry/102150
OMIM:102200,"Pituitary adenoma, growth hormone-secreting, 1",https://www.omim.org/entry/102200
OMIM:102300,"Restless legs syndrome, susceptibility to, 1",https://www.omim.org/entry/102300
OMIM:102350,Acromial dimples,https://www.omim.org/entry/102350
OMIM:102370,Acromicric dysplasia,https://www.omim.org/entry/102370
OMIM:102400,ACROOSTEOLYSIS,https://www.omim.org/entry/102400
OMIM:102500,Hajdu-Cheney syndrome,https://www.omim.org/entry/102500
OMIM:102510,"ACROPECTOROVERTEBRAL DYSPLASIA, F-FORM OF",https://www.omim.org/entry/102510
OMIM:102520,Acrorenal syndrome,https://www.omim.org/entry/102520
OMIM:102530,Spermatogenic failure 6,https://www.omim.org/entry/102530
OMIM:102650,"Adactylia, unilateral",https://www.omim.org/entry/102650
OMIM:102660,Adamantinoma of long bones,https://www.omim.org/entry/102660
OMIM:102700,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency",https://www.omim.org/entry/102700
OMIM:102900,"Adenosine triphosphate, elevated, of erythrocytes",https://www.omim.org/entry/102900
OMIM:103050,Adenylosuccinase deficiency,https://www.omim.org/entry/103050
OMIM:103100,Adie pupil,https://www.omim.org/entry/103100
OMIM:103200,Adiposis dolorosa,https://www.omim.org/entry/103200
OMIM:103230,"adrenocortical hypofunction, chronic primary congenital",https://www.omim.org/entry/103230
OMIM:103285,Adult syndrome,https://www.omim.org/entry/103285
OMIM:103300,HYPOGLOSSIA-HYPODACTYLIA,https://www.omim.org/entry/103300
OMIM:103420,"Alacrima, congenital",https://www.omim.org/entry/103420
OMIM:103500,Tietz albinism-deafness syndrome,https://www.omim.org/entry/103500
OMIM:103580,"Pseudohypoparathyroidism, type IA",https://www.omim.org/entry/103580
OMIM:103780,Alcohol dependence,https://www.omim.org/entry/103780
OMIM:103900,"Aldosteronism, glucocorticoid-remediable",https://www.omim.org/entry/103900
OMIM:103920,Allergic bronchopulmonary aspergillosis,https://www.omim.org/entry/103920
OMIM:104000,Alopecia areata 1,https://www.omim.org/entry/104000
OMIM:104100,Palmoplantar keratoderma with congenital alopecia,https://www.omim.org/entry/104100
OMIM:104110,"Alopecia, familial focal",https://www.omim.org/entry/104110
OMIM:104130,alopecia-epilepsy-pyorrhea-intellectual disability syndrome,https://www.omim.org/entry/104130
OMIM:104200,"Alport syndrome 3, autosomal dominant",https://www.omim.org/entry/104200
OMIM:104290,Alternating hemiplegia of childhood 1,https://www.omim.org/entry/104290
OMIM:104300,Alzheimer disease,https://www.omim.org/entry/104300
OMIM:104310,Alzheimer disease 2,https://www.omim.org/entry/104310
OMIM:104350,"Amastia, bilateral, with ureteral triplication and dysmorphism",https://www.omim.org/entry/104350
OMIM:104400,Amelia and terminal transverse hemimelia,https://www.omim.org/entry/104400
OMIM:104500,"Amelogenesis imperfecta, type IB",https://www.omim.org/entry/104500
OMIM:104510,"Amelogenesis imperfecta, type IV",https://www.omim.org/entry/104510
OMIM:104530,"Amelogenesis imperfecta, type IA",https://www.omim.org/entry/104530
OMIM:104570,ameloonychohypohidrotic syndrome,https://www.omim.org/entry/104570
OMIM:105120,"Amyloidosis, Finnish type",https://www.omim.org/entry/105120
OMIM:105150,Amyloidosis VI,https://www.omim.org/entry/105150
OMIM:105200,"Amyloidosis, familial visceral",https://www.omim.org/entry/105200
OMIM:105210,"Amyloidosis, hereditary, transthyretin-related",https://www.omim.org/entry/105210
OMIM:105250,"Amyloidosis, primary localized cutaneous, 1",https://www.omim.org/entry/105250
OMIM:105300,Amyotrophic dystonic paraplegia,https://www.omim.org/entry/105300
OMIM:105400,Amyotrophic lateral sclerosis 1,https://www.omim.org/entry/105400
OMIM:105500,Amyotrophic lateral sclerosis-parkinsonism/dementia complex 1,https://www.omim.org/entry/105500
OMIM:105550,Amyotrophic lateral sclerosis and/or frontotemporal dementia 1,https://www.omim.org/entry/105550
OMIM:105580,"Anal canal carcinomacloacogenic carcinoma, included",https://www.omim.org/entry/105580
OMIM:105600,"Anemia, dyserythropoietic congenital, type III",https://www.omim.org/entry/105600
OMIM:105650,Diamond-Blackfan anemia 1,https://www.omim.org/entry/105650
OMIM:105800,"Aneurysm, intracranial berry, 1",https://www.omim.org/entry/105800
OMIM:105805,Aneurysm of interventricular septum,https://www.omim.org/entry/105805
OMIM:105830,Angelman syndrome,https://www.omim.org/entry/105830
OMIM:105835,Angel-Shaped phalangoepiphyseal dysplasia,https://www.omim.org/entry/105835
OMIM:106050,"Angioma serpiginosum, autosomal dominant",https://www.omim.org/entry/106050
OMIM:106070,"Angioma, hereditary neurocutaneousspinal arterial venous malformations with cutaneous hemangiomas, included",https://www.omim.org/entry/106070
OMIM:106100,"Angioedema, hereditary, 1",https://www.omim.org/entry/106100
OMIM:106190,"Anhidrosis, isolated, with normal sweat glands",https://www.omim.org/entry/106190
OMIM:106210,Aniridia,https://www.omim.org/entry/106210
OMIM:106220,Aniridia and absent patella,https://www.omim.org/entry/106220
OMIM:106230,"Aniridia, microcornea, and spontaneously reabsorbed cataract",https://www.omim.org/entry/106230
OMIM:106250,Ankyloblepharon filiforme adnatum and cleft palate,https://www.omim.org/entry/106250
OMIM:106260,Hay-Wells syndrome,https://www.omim.org/entry/106260
OMIM:106280,Ankyloglossia with or without tooth anomalies,https://www.omim.org/entry/106280
OMIM:106300,"Spondyloarthropathy, susceptibility to, 1",https://www.omim.org/entry/106300
OMIM:106400,"Ankylosing vertebral hyperostosis with tylosisdiffuse idiopathic skeletal hyperostosis, included",https://www.omim.org/entry/106400
OMIM:106500,Annular erythema,https://www.omim.org/entry/106500
OMIM:106600,"Tooth agenesis, selective, 1",https://www.omim.org/entry/106600
OMIM:106700,Total anomalous pulmonary venous return 1,https://www.omim.org/entry/106700
OMIM:106750,Anonychia with flexural pigmentation,https://www.omim.org/entry/106750
OMIM:106900,ANONYCHIA-ECTRODACTYLY,https://www.omim.org/entry/106900
OMIM:106990,anonychia-onychodystrophy with brachydactyly type b and ectrodactyly,https://www.omim.org/entry/106990
OMIM:106995,Anonychia-Onychodystrophy with hypoplasia or absence of distal phalanges,https://www.omim.org/entry/106995
OMIM:107000,"Nail disorder, nonsyndromic congenital, 6",https://www.omim.org/entry/107000
OMIM:107100,Anorectal anomalies,https://www.omim.org/entry/107100
OMIM:107200,"Anosmia, congenital",https://www.omim.org/entry/107200
OMIM:107250,Anterior segment dysgenesis 1,https://www.omim.org/entry/107250
OMIM:107320,"Antiphospholipid syndrome, familial",https://www.omim.org/entry/107320
OMIM:107480,Townes-Brocks syndrome 1,https://www.omim.org/entry/107480
OMIM:107500,Aortic arch anomaly with peculiar facies and mental retardation,https://www.omim.org/entry/107500
OMIM:107550,"Aortic arch interruption, facial palsy, and retinal coloboma",https://www.omim.org/entry/107550
OMIM:107600,"Aplasia cutis congenita, nonsyndromic",https://www.omim.org/entry/107600
OMIM:107640,"Apnea, central sleep",https://www.omim.org/entry/107640
OMIM:107650,"Apnea, obstructive sleep",https://www.omim.org/entry/107650
OMIM:107700,"Appendicitis, proneness to",https://www.omim.org/entry/107700
OMIM:107900,"Arms, malformation of",https://www.omim.org/entry/107900
OMIM:107970,"Arrhythmogenic right ventricular dysplasia, familial, 1",https://www.omim.org/entry/107970
OMIM:108000,"Arteries, anomalies of",https://www.omim.org/entry/108000
OMIM:108010,"Arteriovenous malformation of the brain, somatic",https://www.omim.org/entry/108010
OMIM:108120,"Arthrogryposis, distal, type 1A",https://www.omim.org/entry/108120
OMIM:108145,"Arthrogryposis, distal, type 5",https://www.omim.org/entry/108145
OMIM:108200,Arthrogryposis-Like hand anomaly and sensorineural deafness,https://www.omim.org/entry/108200
OMIM:108300,"Stickler syndrome, type I",https://www.omim.org/entry/108300
OMIM:108420,Spermatogenic failure 2,https://www.omim.org/entry/108420
OMIM:108500,"Episodic ataxia, type 2",https://www.omim.org/entry/108500
OMIM:108600,"Spastic ataxia 1, autosomal dominant",https://www.omim.org/entry/108600
OMIM:108650,"Spastic ataxia 7, autosomal dominant",https://www.omim.org/entry/108650
OMIM:108700,Ataxia with fasciculations,https://www.omim.org/entry/108700
OMIM:108720,"Atelosteogenesis, type I",https://www.omim.org/entry/108720
OMIM:108721,"Atelosteogenesis, type III",https://www.omim.org/entry/108721
OMIM:108725,Atherosclerosis susceptibility,https://www.omim.org/entry/108725
OMIM:108760,Atresia of external auditory canal and conduction deafness,https://www.omim.org/entry/108760
OMIM:108770,Atrial standstill 1,https://www.omim.org/entry/108770
OMIM:108800,Atrial septal defect 1,https://www.omim.org/entry/108800
OMIM:108900,Atrial septal defect with atrioventricular conduction defects,https://www.omim.org/entry/108900
OMIM:108950,Atrial tachyarrhythmia with short pr interval,https://www.omim.org/entry/108950
OMIM:108985,Sveinsson chorioretinal atrophy,https://www.omim.org/entry/108985
OMIM:109000,AURICULOOSTEODYSPLASIA,https://www.omim.org/entry/109000
OMIM:109050,Auralcephalosyndactyly,https://www.omim.org/entry/109050
OMIM:109100,Autoimmune disease,https://www.omim.org/entry/109100
OMIM:109120,"Axenfeld-Rieger anomaly with partially absent eye muscles, distinctive face, hydrocephaly, and skeletal abnormalities",https://www.omim.org/entry/109120
OMIM:109130,Axial osteomalacia,https://www.omim.org/entry/109130
OMIM:109150,Machado-Joseph disease,https://www.omim.org/entry/109150
OMIM:109200,"Alopecia, androgenetic, 1",https://www.omim.org/entry/109200
OMIM:109300,Banki syndrome,https://www.omim.org/entry/109300
OMIM:109350,Gastroesophageal reflux,https://www.omim.org/entry/109350
OMIM:109400,Basal cell nevus syndrome,https://www.omim.org/entry/109400
OMIM:109500,"Basilar impression, primary",https://www.omim.org/entry/109500
OMIM:109543,"B-CELL MALIGNANCY, LOW-GRADE",https://www.omim.org/entry/109543
OMIM:109650,Behcet syndrome,https://www.omim.org/entry/109650
OMIM:109720,"Biliary cirrhosis, primary",https://www.omim.org/entry/109720
OMIM:109730,Aortic valve disease 1,https://www.omim.org/entry/109730
OMIM:109740,"bifid nose, autosomal dominant",https://www.omim.org/entry/109740
OMIM:109800,Bladder cancer,https://www.omim.org/entry/109800
OMIM:109900,Blepharochalasis and double lip,https://www.omim.org/entry/109900
OMIM:110000,"Blepharochalasis, superior",https://www.omim.org/entry/110000
OMIM:110050,Blepharonasofacial malformation syndrome,https://www.omim.org/entry/110050
OMIM:110100,"Blepharophimosis, epicanthus inversus, and ptosis",https://www.omim.org/entry/110100
OMIM:110150,"Blepharoptosis, myopia, and ectopia lentis",https://www.omim.org/entry/110150
OMIM:112200,Blue rubber bleb nevus,https://www.omim.org/entry/112200
OMIM:112240,Cole-Carpenter syndrome 1,https://www.omim.org/entry/112240
OMIM:112250,Diaphyseal medullary stenosis with malignant fibrous histiocytoma,https://www.omim.org/entry/112250
OMIM:112270,"Bone pain, periodic",https://www.omim.org/entry/112270
OMIM:112300,Böök syndrome,https://www.omim.org/entry/112300
OMIM:112310,Boomerang dysplasia,https://www.omim.org/entry/112310
OMIM:112350,Weismann-Netter syndrome,https://www.omim.org/entry/112350
OMIM:112370,"Brachmann-De lange-like facial changes with microcephaly, metatarsusadductus, and developmental delay",https://www.omim.org/entry/112370
OMIM:112410,Hypertension and brachydactyly syndrome,https://www.omim.org/entry/112410
OMIM:112430,brachydactyly-long thumb syndrome,https://www.omim.org/entry/112430
OMIM:112450,"Brachydactyly, preaxial, with hallux varus and thumb abduction",https://www.omim.org/entry/112450
OMIM:112500,"Brachydactyly, type A1",https://www.omim.org/entry/112500
OMIM:112600,"Brachydactyly, type A2",https://www.omim.org/entry/112600
OMIM:112700,"Brachydactyly, type A3",https://www.omim.org/entry/112700
OMIM:112800,"Brachydactyly, type A4",https://www.omim.org/entry/112800
OMIM:112910,"Brachydactyly, type A6",https://www.omim.org/entry/112910
OMIM:113000,"Brachydactyly, type B1",https://www.omim.org/entry/113000
OMIM:113100,"Brachydactyly, type C",https://www.omim.org/entry/113100
OMIM:113200,"Brachydactyly, type D",https://www.omim.org/entry/113200
OMIM:113300,"Brachydactyly, type E",https://www.omim.org/entry/113300
OMIM:113301,"Brachydactyly, type e, with atrial septal defect, type II",https://www.omim.org/entry/113301
OMIM:113310,Brachydactyly-Ectrodactyly with fibular aplasia or hypoplasia,https://www.omim.org/entry/113310
OMIM:113400,Brachydactyly-Nystagmus-Cerebellar ataxia,https://www.omim.org/entry/113400
OMIM:113450,Sillence syndrome,https://www.omim.org/entry/113450
OMIM:113477,Brachymorphism-Onychodysplasia-Dysphalangism syndrome,https://www.omim.org/entry/113477
OMIM:113480,brachytelephalangy-dysmorphism-Kallmann syndrome,https://www.omim.org/entry/113480
OMIM:113500,Brachyolmia type 3,https://www.omim.org/entry/113500
OMIM:113600,"Branchial cleft anomaliesbranchial cysts, included",https://www.omim.org/entry/113600
OMIM:113620,Branchiooculofacial syndrome,https://www.omim.org/entry/113620
OMIM:113650,Branchiootorenal syndrome 1,https://www.omim.org/entry/113650
OMIM:113670,"Breast, unilateral giant",https://www.omim.org/entry/113670
OMIM:113700,"Breasts and/or nipples, aplasia or hypoplasia of, 1",https://www.omim.org/entry/113700
OMIM:113750,"Albinism, oculocutaneous, type VI",https://www.omim.org/entry/113750
OMIM:113800,Epidermolytic hyperkeratosis,https://www.omim.org/entry/113800
OMIM:113900,"Progressive familial heart block, type IA",https://www.omim.org/entry/113900
OMIM:113950,"Bundle branch block, familial isolated complete right",https://www.omim.org/entry/113950
OMIM:113970,Burkitt lymphoma,https://www.omim.org/entry/113970
OMIM:114000,Caffey disease,https://www.omim.org/entry/114000
OMIM:114030,"cafe au lait spots, multiple",https://www.omim.org/entry/114030
OMIM:114065,"Calcific aortic disease with immunologic abnormalities, familial",https://www.omim.org/entry/114065
OMIM:114100,"basal ganglia calcification, idiopathic, childhood-onset",https://www.omim.org/entry/114100
OMIM:114140,"Callosities, hereditary painful",https://www.omim.org/entry/114140
OMIM:114150,CAMPTOBRACHYDACTYLY,https://www.omim.org/entry/114150
OMIM:114200,Camptodactyly 1,https://www.omim.org/entry/114200
OMIM:114290,Campomelic dysplasia,https://www.omim.org/entry/114290
OMIM:114300,"Arthrogryposis, distal, type 3",https://www.omim.org/entry/114300
OMIM:114450,"Cancer, familial, with in vitro radioresistance",https://www.omim.org/entry/114450
OMIM:114480,Breast cancer,https://www.omim.org/entry/114480
OMIM:114500,Colorectal cancer,https://www.omim.org/entry/114500
OMIM:114550,Hepatocellular carcinoma,https://www.omim.org/entry/114550
OMIM:114580,"Candidiasis, familial chronic mucocutaneous, autosomal dominant",https://www.omim.org/entry/114580
OMIM:114600,"Canine teeth, absence of upper permanent",https://www.omim.org/entry/114600
OMIM:114620,craniofaciofrontodigital syndrome,https://www.omim.org/entry/114620
OMIM:114650,Car factor deficiency,https://www.omim.org/entry/114650
OMIM:114700,Carabelli anomaly of maxillary molar teeth,https://www.omim.org/entry/114700
OMIM:114900,"Carcinoid tumors, intestinal",https://www.omim.org/entry/114900
OMIM:115000,Ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome,https://www.omim.org/entry/115000
OMIM:115080,"Cardiac conduction defectsudden cardiac death, included",https://www.omim.org/entry/115080
OMIM:115150,Cardiofaciocutaneous syndrome 1,https://www.omim.org/entry/115150
OMIM:115195,"Cardiomyopathy, familial hypertrophic, 2",https://www.omim.org/entry/115195
OMIM:115196,"Cardiomyopathy, familial hypertrophic, 3",https://www.omim.org/entry/115196
OMIM:115197,"Cardiomyopathy, familial hypertrophic, 4",https://www.omim.org/entry/115197
OMIM:115200,"Cardiomyopathy, dilated, 1A",https://www.omim.org/entry/115200
OMIM:115210,"Cardiomyopathy, familial restrictive, 1",https://www.omim.org/entry/115210
OMIM:115250,"Collagenoma, familial cutaneous",https://www.omim.org/entry/115250
OMIM:115300,"Carotenemia, familial",https://www.omim.org/entry/115300
OMIM:115310,Paragangliomas 4,https://www.omim.org/entry/115310
OMIM:115400,Carpal displacement,https://www.omim.org/entry/115400
OMIM:115430,Carpal tunnel syndrome,https://www.omim.org/entry/115430
OMIM:115470,Cat eye syndrome,https://www.omim.org/entry/115470
OMIM:115645,cataract-aberrant oral frenula-growth delay syndrome,https://www.omim.org/entry/115645
OMIM:115650,"Cataract, anterior polar, 1",https://www.omim.org/entry/115650
OMIM:115660,Cataract 7,https://www.omim.org/entry/115660
OMIM:115665,"Cataract, congenital, Volkmann type",https://www.omim.org/entry/115665
OMIM:115700,"Cataract, crystalline aculeiform",https://www.omim.org/entry/115700
OMIM:115800,"Cataract, crystalline coralliform",https://www.omim.org/entry/115800
OMIM:115900,Cataract 42,https://www.omim.org/entry/115900
OMIM:116100,"Cataract 20, multiple types",https://www.omim.org/entry/116100
OMIM:116200,"Cataract 1, multiple types",https://www.omim.org/entry/116200
OMIM:116300,"Cataract 30, multiple types",https://www.omim.org/entry/116300
OMIM:116400,"Cataract, nuclear total",https://www.omim.org/entry/116400
OMIM:116600,"Cataract, posterior polar, 1 ctpa cataract, congenital total, included",https://www.omim.org/entry/116600
OMIM:116700,Cataract 13 with adult i phenotype,https://www.omim.org/entry/116700
OMIM:116800,"Cataract, lamellar",https://www.omim.org/entry/116800
OMIM:116860,Cerebral cavernous malformations 1,https://www.omim.org/entry/116860
OMIM:116870,Celiac artery stenosis from compression by median arcuate ligamentof diaphragm,https://www.omim.org/entry/116870
OMIM:116920,"Leukocyte adhesion deficiency, type I",https://www.omim.org/entry/116920
OMIM:117000,Central core disease,https://www.omim.org/entry/117000
OMIM:117100,Centralopathic epilepsy,https://www.omim.org/entry/117100
OMIM:117210,Spinocerebellar ataxia 31,https://www.omim.org/entry/117210
OMIM:117300,"Dementia, familial danish",https://www.omim.org/entry/117300
OMIM:117360,"Spinocerebellar ataxia 29, congenital nonprogressive",https://www.omim.org/entry/117360
OMIM:117550,Sotos syndrome,https://www.omim.org/entry/117550
OMIM:117600,cerebral sarcoma,https://www.omim.org/entry/117600
OMIM:117650,Cerebrocostomandibular syndrome,https://www.omim.org/entry/117650
OMIM:117850,Cervical hypertrichosis with underlying kyphoscoliosis,https://www.omim.org/entry/117850
OMIM:117900,Cervical rib,https://www.omim.org/entry/117900
OMIM:118000,Cervical vertebral bridge,https://www.omim.org/entry/118000
OMIM:118005,Cervical vertebral dysplasia,https://www.omim.org/entry/118005
OMIM:118100,"Klippel-Feil syndrome 1, autosomal dominant",https://www.omim.org/entry/118100
OMIM:118200,"Charcot-Marie-Tooth disease, type 1B",https://www.omim.org/entry/118200
OMIM:118210,"Charcot-Marie-Tooth disease, axonal, type 2A1",https://www.omim.org/entry/118210
OMIM:118220,"Charcot-Marie-Tooth disease, demyelinating, type 1A",https://www.omim.org/entry/118220
OMIM:118230,"Charcot-Marie-Tooth disease, Guadalajara neuronal type",https://www.omim.org/entry/118230
OMIM:118300,Charcot-Marie-Tooth disease and deafness,https://www.omim.org/entry/118300
OMIM:118301,Charcot-Marie-Tooth disease with ptosis and parkinsonism,https://www.omim.org/entry/118301
OMIM:118330,cheilitis glandularis,https://www.omim.org/entry/118330
OMIM:118400,Cherubism,https://www.omim.org/entry/118400
OMIM:118420,Chiari malformation type I,https://www.omim.org/entry/118420
OMIM:118450,Alagille syndrome 1,https://www.omim.org/entry/118450
OMIM:118600,Chondrocalcinosis 2,https://www.omim.org/entry/118600
OMIM:118650,"Chondrodysplasia punctata, autosomal dominantchondrodysplasia punctata due to vitamin K deficiency, included",https://www.omim.org/entry/118650
OMIM:118651,"Chondrodysplasia punctata, Tibia-Metacarpal type",https://www.omim.org/entry/118651
OMIM:118700,"Chorea, benign hereditary",https://www.omim.org/entry/118700
OMIM:118750,"Choreoathetosis, familial inverted",https://www.omim.org/entry/118750
OMIM:118800,Paroxysmal nonkinesigenic dyskinesia 1,https://www.omim.org/entry/118800
OMIM:118830,"Chylomicronemia, familial, due to circulating inhibitor of lipoproteinlipase",https://www.omim.org/entry/118830
OMIM:118900,"cirrhosis, familial, with antigenemia",https://www.omim.org/entry/118900
OMIM:118980,congenital pseudoarthrosis of clavicle,https://www.omim.org/entry/118980
OMIM:119100,Split-Hand/foot malformation with long bone deficiency 1,https://www.omim.org/entry/119100
OMIM:119300,van der Woude syndrome 1,https://www.omim.org/entry/119300
OMIM:119500,Popliteal pterygium syndrome,https://www.omim.org/entry/119500
OMIM:119530,Orofacial cleft 1,https://www.omim.org/entry/119530
OMIM:119540,"Cleft palate, isolated",https://www.omim.org/entry/119540
OMIM:119550,Cleft palate-lateral synechia syndrome,https://www.omim.org/entry/119550
OMIM:119570,Cleft soft palate,https://www.omim.org/entry/119570
OMIM:119580,Blepharocheilodontic syndrome 1,https://www.omim.org/entry/119580
OMIM:119600,Cleidocranial dysplasia,https://www.omim.org/entry/119600
OMIM:119650,Cleidorhizomelic syndrome,https://www.omim.org/entry/119650
OMIM:119800,"Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly",https://www.omim.org/entry/119800
OMIM:119900,"Digital clubbing, isolated congenital",https://www.omim.org/entry/119900
OMIM:119915,"Cluster headache, familial",https://www.omim.org/entry/119915
OMIM:120000,Coarctation of aorta,https://www.omim.org/entry/120000
OMIM:120040,Cochleosaccular degeneration of the inner ear with progressive cataracts,https://www.omim.org/entry/120040
OMIM:120050,Coxsackievirus B3 susceptibility,https://www.omim.org/entry/120050
OMIM:120100,Familial cold inflammatory syndrome 1,https://www.omim.org/entry/120100
OMIM:120200,"Coloboma, ocular",https://www.omim.org/entry/120200
OMIM:120300,Coloboma of macula,https://www.omim.org/entry/120300
OMIM:120330,Papillorenal syndrome,https://www.omim.org/entry/120330
OMIM:120400,Coloboma of macula with type B brachydactyly,https://www.omim.org/entry/120400
OMIM:120430,"Coloboma of optic nerveoptic nerve head pits, bilateral congenital, included",https://www.omim.org/entry/120430
OMIM:120433,"Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or mental retardation",https://www.omim.org/entry/120433
OMIM:120435,Lynch syndrome I,https://www.omim.org/entry/120435
OMIM:120450,"Comedones, familial dyskeratotic",https://www.omim.org/entry/120450
OMIM:120500,Commissural lip pits,https://www.omim.org/entry/120500
OMIM:120502,Branchiootic syndrome 2,https://www.omim.org/entry/120502
OMIM:120790,"Complement component 4, partial deficiency of",https://www.omim.org/entry/120790
OMIM:120970,Cone-Rod dystrophy 2,https://www.omim.org/entry/120970
OMIM:121050,"Contractural arachnodactyly, congenital",https://www.omim.org/entry/121050
OMIM:121070,"Arthrogryposis, distal, type 2E",https://www.omim.org/entry/121070
OMIM:121200,"Seizures, benign familial neonatal, 1",https://www.omim.org/entry/121200
OMIM:121201,"Epilepsy, benign neonatal, 2",https://www.omim.org/entry/121201
OMIM:121210,"Febrile seizures, familial, 1",https://www.omim.org/entry/121210
OMIM:121270,"Copper deficiency, familial benign",https://www.omim.org/entry/121270
OMIM:121300,Coproporphyria,https://www.omim.org/entry/121300
OMIM:121350,"Coracoclavicular joint, anomalous",https://www.omim.org/entry/121350
OMIM:121390,Cornea guttata with anterior polar cataracts,https://www.omim.org/entry/121390
OMIM:121400,Cornea plana 1,https://www.omim.org/entry/121400
OMIM:121800,"Corneal dystrophy, crystalline, of schnyder",https://www.omim.org/entry/121800
OMIM:121820,"Corneal dystrophy, epithelial basement membrane",https://www.omim.org/entry/121820
OMIM:121850,Corneal fleck dystrophy,https://www.omim.org/entry/121850
OMIM:121900,Groenouw type I corneal dystrophy,https://www.omim.org/entry/121900
